case,type,difficulty,system,model,runnable,objective,ground_truth,verdict,elapsed_s
C01_knapsack,knapsack,easy,OptAgent,deepseek-ai/DeepSeek-V3,True,26.0,26,optimal,22.87
C01_knapsack,knapsack,easy,GPT-4o,gpt-4o,True,26.0,26,optimal,8.11
C01_knapsack,knapsack,easy,GPT-4o-mini,gpt-4o-mini,True,26.0,26,optimal,6.41
C01_knapsack,knapsack,easy,Moonshot-v1,moonshot-v1-8k,True,26.0,26,optimal,9.6
C01_knapsack,knapsack,easy,Qwen2.5-72B,Qwen/Qwen2.5-72B-Instruct,False,None,26,no_result,48.23
C01_knapsack,knapsack,easy,DeepSeek-V3-raw,deepseek-ai/DeepSeek-V3,True,26.0,26,optimal,21.97
C02_tsp,tsp,medium,OptAgent,deepseek-ai/DeepSeek-V3,True,0.0,17.6569,invalid_below_optimum,38.35
C02_tsp,tsp,medium,GPT-4o,gpt-4o,True,17.65685424949238,17.6569,optimal,11.56
C02_tsp,tsp,medium,GPT-4o-mini,gpt-4o-mini,True,17.65685424949238,17.6569,optimal,6.59
C02_tsp,tsp,medium,Moonshot-v1,moonshot-v1-8k,False,None,17.6569,no_result,19.57
C02_tsp,tsp,medium,Qwen2.5-72B,Qwen/Qwen2.5-72B-Instruct,False,None,17.6569,no_result,181.8
C02_tsp,tsp,medium,DeepSeek-V3-raw,deepseek-ai/DeepSeek-V3,True,17.66,17.6569,optimal,37.15
C03_assignment,assignment,easy,OptAgent,deepseek-ai/DeepSeek-V3,True,9.0,9,optimal,34.08
C03_assignment,assignment,easy,GPT-4o,gpt-4o,True,9.0,9,optimal,7.29
C03_assignment,assignment,easy,GPT-4o-mini,gpt-4o-mini,True,9.0,9,optimal,8.33
C03_assignment,assignment,easy,Moonshot-v1,moonshot-v1-8k,True,9.0,9,optimal,10.74
C03_assignment,assignment,easy,Qwen2.5-72B,Qwen/Qwen2.5-72B-Instruct,False,None,9,no_result,182.11
C03_assignment,assignment,easy,DeepSeek-V3-raw,deepseek-ai/DeepSeek-V3,True,9.0,9,optimal,24.36
C04_bin_packing,bin_packing,medium,OptAgent,deepseek-ai/DeepSeek-V3,True,2.0,2,optimal,30.94
C04_bin_packing,bin_packing,medium,GPT-4o,gpt-4o,True,2.0,2,optimal,9.62
C04_bin_packing,bin_packing,medium,GPT-4o-mini,gpt-4o-mini,True,1.0,2,invalid_below_optimum,7.91
C04_bin_packing,bin_packing,medium,Moonshot-v1,moonshot-v1-8k,True,2.0,2,optimal,14.9
C04_bin_packing,bin_packing,medium,Qwen2.5-72B,Qwen/Qwen2.5-72B-Instruct,False,None,2,no_result,171.32
C04_bin_packing,bin_packing,medium,DeepSeek-V3-raw,deepseek-ai/DeepSeek-V3,True,2.0,2,optimal,27.39
C05_set_cover,set_cover,medium,OptAgent,deepseek-ai/DeepSeek-V3,True,2.0,2,optimal,25.68
C05_set_cover,set_cover,medium,GPT-4o,gpt-4o,True,2.0,2,optimal,9.61
C05_set_cover,set_cover,medium,GPT-4o-mini,gpt-4o-mini,True,2.0,2,optimal,8.05
C05_set_cover,set_cover,medium,Moonshot-v1,moonshot-v1-8k,True,2.0,2,optimal,10.32
C05_set_cover,set_cover,medium,Qwen2.5-72B,Qwen/Qwen2.5-72B-Instruct,True,2.0,2,optimal,55.39
C05_set_cover,set_cover,medium,DeepSeek-V3-raw,deepseek-ai/DeepSeek-V3,True,2.0,2,optimal,26.04
C06_job_scheduling,scheduling,medium,OptAgent,deepseek-ai/DeepSeek-V3,True,20.0,2,feasible_suboptimal,41.61
C06_job_scheduling,scheduling,medium,GPT-4o,gpt-4o,True,3.0,2,feasible_suboptimal,11.67
C06_job_scheduling,scheduling,medium,GPT-4o-mini,gpt-4o-mini,True,2.0,2,optimal,6.48
C06_job_scheduling,scheduling,medium,Moonshot-v1,moonshot-v1-8k,False,None,2,no_result,13.05
C06_job_scheduling,scheduling,medium,Qwen2.5-72B,Qwen/Qwen2.5-72B-Instruct,False,None,2,no_result,48.75
C06_job_scheduling,scheduling,medium,DeepSeek-V3-raw,deepseek-ai/DeepSeek-V3,False,None,2,no_result,23.14
C07_cvrp,vrp,hard,OptAgent,deepseek-ai/DeepSeek-V3,True,0.0,None,invalid_degenerate,50.34
C07_cvrp,vrp,hard,GPT-4o,gpt-4o,True,20.46669094406771,None,invalid_degenerate,13.07
C07_cvrp,vrp,hard,GPT-4o-mini,gpt-4o-mini,True,0.0,None,invalid_degenerate,7.84
C07_cvrp,vrp,hard,Moonshot-v1,moonshot-v1-8k,False,None,None,no_result,16.31
